Date,DAY,MONTH,QUARTER,YEAR,Close,High,Low,Open,Volume
23-05-2002,Thursday,May,Q2,2002,0.119643003,0.124286003,0.114570998,0.115643002,1047900000
24-05-2002,Friday,May,Q2,2002,0.120999999,0.122500002,0.119713999,0.121428996,111048000
28-05-2002,Tuesday,May,Q2,2002,0.115713999,0.123213999,0.115713999,0.121357001,66094000
29-05-2002,Wednesday,May,Q2,2002,0.110357001,0.116429001,0.108571,0.116429001,67578000
30-05-2002,Thursday,May,Q2,2002,0.107143,0.110785998,0.107143,0.110785998,101542000
31-05-2002,Friday,May,Q2,2002,0.107643001,0.107856996,0.107143,0.107856996,84644000
03-06-2002,Monday,June,Q2,2002,0.112856999,0.114928998,0.107643001,0.108000003,31514000
04-06-2002,Tuesday,June,Q2,2002,0.111786,0.114,0.111070998,0.113571003,31052000
05-06-2002,Wednesday,June,Q2,2002,0.114713997,0.115929,0.110714003,0.111070998,15316000
06-06-2002,Thursday,June,Q2,2002,0.118213996,0.123213999,0.114857003,0.115000002,23058000
07-06-2002,Friday,June,Q2,2002,0.111856997,0.117785998,0.110357001,0.117785998,13692000
10-06-2002,Monday,June,Q2,2002,0.115643002,0.1175,0.113429002,0.113499999,4844000
11-06-2002,Tuesday,June,Q2,2002,0.115356997,0.118856996,0.112856999,0.115643002,10038000
12-06-2002,Wednesday,June,Q2,2002,0.109286003,0.118213996,0.108929001,0.115356997,17990000
13-06-2002,Thursday,June,Q2,2002,0.108286001,0.112213999,0.108000003,0.110428996,25676000
14-06-2002,Friday,June,Q2,2002,0.098642997,0.108571,0.097999997,0.108213998,47838000
17-06-2002,Monday,June,Q2,2002,0.092214003,0.105929002,0.091785997,0.101356998,48552000
18-06-2002,Tuesday,June,Q2,2002,0.091071002,0.093929,0.084214002,0.093856998,108080000
19-06-2002,Wednesday,June,Q2,2002,0.095142998,0.099642999,0.089286,0.091142997,54824000
20-06-2002,Thursday,June,Q2,2002,0.095714003,0.104000002,0.094999999,0.097143002,61110000
21-06-2002,Friday,June,Q2,2002,0.097929001,0.098929003,0.094786003,0.098214,23464000
24-06-2002,Monday,June,Q2,2002,0.097856998,0.101429,0.095714003,0.097929001,25676000
25-06-2002,Tuesday,June,Q2,2002,0.096428998,0.100713998,0.094714001,0.098857,39410000
26-06-2002,Wednesday,June,Q2,2002,0.098857,0.099642999,0.092142999,0.096357003,29246000
27-06-2002,Thursday,June,Q2,2002,0.094356999,0.101856999,0.094286002,0.100928999,38178000
28-06-2002,Friday,June,Q2,2002,0.099928997,0.101356998,0.096070997,0.096070997,92344000
01-07-2002,Monday,July,Q3,2002,0.102785997,0.104643002,0.099285997,0.100000001,45850000
02-07-2002,Tuesday,July,Q3,2002,0.117285997,0.119499996,0.103928998,0.105356999,90202000
03-07-2002,Wednesday,July,Q3,2002,0.121428996,0.121428996,0.111786,0.117857002,49574000
05-07-2002,Friday,July,Q3,2002,0.127643004,0.129929006,0.121357001,0.121428996,20034000
08-07-2002,Monday,July,Q3,2002,0.117570996,0.125213996,0.116786003,0.125213996,19530000
09-07-2002,Tuesday,July,Q3,2002,0.116071001,0.119643003,0.111428998,0.1175,29358000
10-07-2002,Wednesday,July,Q3,2002,0.116356999,0.117857002,0.113214001,0.116143003,15540000
11-07-2002,Thursday,July,Q3,2002,0.126929,0.127857,0.113286003,0.115428999,25298000
12-07-2002,Friday,July,Q3,2002,0.120785996,0.128000006,0.120714001,0.127857,28378000
15-07-2002,Monday,July,Q3,2002,0.114285998,0.124857001,0.107643001,0.124286003,42392000
16-07-2002,Tuesday,July,Q3,2002,0.112643003,0.115713999,0.110428996,0.115286,19418000
17-07-2002,Wednesday,July,Q3,2002,0.108929001,0.116356999,0.107570998,0.114500001,12614000
18-07-2002,Thursday,July,Q3,2002,0.114928998,0.116642997,0.111070998,0.111713998,28994000
19-07-2002,Friday,July,Q3,2002,0.115999997,0.116071001,0.112213999,0.115286,17920000
22-07-2002,Monday,July,Q3,2002,0.117071003,0.117928997,0.111500002,0.113571003,19936000
23-07-2002,Tuesday,July,Q3,2002,0.114643,0.121357001,0.113071002,0.117642999,15778000
24-07-2002,Wednesday,July,Q3,2002,0.111428998,0.115929,0.107428998,0.114643,33558000
25-07-2002,Thursday,July,Q3,2002,0.103643,0.112786002,0.103500001,0.112499997,47558000
26-07-2002,Friday,July,Q3,2002,0.087142996,0.105857,0.085000001,0.104999997,70462000
29-07-2002,Monday,July,Q3,2002,0.087642998,0.092428997,0.085000001,0.089643002,32606000
30-07-2002,Tuesday,July,Q3,2002,0.091429003,0.094286002,0.089357004,0.089357004,37772000
31-07-2002,Wednesday,July,Q3,2002,0.095357001,0.096000001,0.090571001,0.092857003,33334000
01-08-2002,Thursday,August,Q3,2002,0.089143001,0.096000001,0.087785996,0.094999999,45290000
02-08-2002,Friday,August,Q3,2002,0.077785999,0.088785999,0.070643,0.088643,66556000
05-08-2002,Monday,August,Q3,2002,0.077500001,0.081285998,0.076071002,0.077857003,38080000
06-08-2002,Tuesday,August,Q3,2002,0.076071002,0.080357,0.074285999,0.079571001,32172000
07-08-2002,Wednesday,August,Q3,2002,0.079356998,0.079356998,0.074285999,0.076071002,27580000
08-08-2002,Thursday,August,Q3,2002,0.079643004,0.080357,0.075071,0.079643004,22834000
09-08-2002,Friday,August,Q3,2002,0.078713998,0.082143001,0.077857003,0.079856999,15008000
12-08-2002,Monday,August,Q3,2002,0.075714,0.080714002,0.075356998,0.080286004,21308000
13-08-2002,Tuesday,August,Q3,2002,0.077285998,0.080499999,0.075429,0.076785997,16772000
14-08-2002,Wednesday,August,Q3,2002,0.083356999,0.083356999,0.077142999,0.077570997,40474000
15-08-2002,Thursday,August,Q3,2002,0.088285998,0.091071002,0.083286002,0.083714001,32634000
16-08-2002,Friday,August,Q3,2002,0.091286004,0.092428997,0.085713997,0.089286,18284000
19-08-2002,Monday,August,Q3,2002,0.098214,0.098429002,0.091785997,0.092500001,20748000
20-08-2002,Tuesday,August,Q3,2002,0.094642997,0.099357001,0.092142999,0.098499998,25396000
21-08-2002,Wednesday,August,Q3,2002,0.096856996,0.097143002,0.091857001,0.095285997,27790000
22-08-2002,Thursday,August,Q3,2002,0.098356999,0.099928997,0.092928998,0.097356997,29638000
23-08-2002,Friday,August,Q3,2002,0.099357001,0.099642999,0.096786,0.099357001,24066000
26-08-2002,Monday,August,Q3,2002,0.096786,0.099642999,0.093786001,0.099642999,26446000
27-08-2002,Tuesday,August,Q3,2002,0.087357,0.096786,0.085786,0.096786,49840000
28-08-2002,Wednesday,August,Q3,2002,0.086429,0.089000002,0.082500003,0.086143002,22750000
29-08-2002,Thursday,August,Q3,2002,0.090356998,0.092214003,0.082428999,0.083286002,23954000
30-08-2002,Friday,August,Q3,2002,0.093643002,0.096285999,0.089428999,0.091429003,21210000
03-09-2002,Tuesday,September,Q3,2002,0.092500001,0.096357003,0.091357,0.093643002,15932000
04-09-2002,Wednesday,September,Q3,2002,0.092857003,0.094571002,0.090786003,0.092570998,3738000
